PROVIDER NAME,CITY,STATE,CLAIMS PAID FOR VACCINE
CVS PHARMACY #06814,VERSAILLES,IN,40
CVS PHARMACY #06813,VEVAY,IN,40
CVS PHARMACY #06513,WABASH,IN,40
CVS PHARMACY #06485,WALKERTON,IN,80
CVS PHARMACY #06462,WARSAW,IN,80
CVS PHARMACY #06874,WASHINGTON,IN,40
CVS PHARMACY #06884,WEST BADEN SPRINGS,IN,240
CVS PHARMACY #05206,WESTFIELD,IN,120
CVS PHARMACY #10591,WESTFIELD,IN,240
CVS PHARMACY #10983,WESTFIELD,IN,120
CVS PHARMACY #06653,WHITELAND,IN,240
CVS PHARMACY #10943,WHITING,IN,200
CVS PHARMACY #06537,WINAMAC,IN,120
CVS PHARMACY #06565,ZIONSVILLE,IN,160
DILLON COMPANIES LLC,ANDOVER,KS,6146.77
DILLON COMPANIES LLC,ARKANSAS CITY,KS,3893.49
CVS PHARMACY #05889,ATCHISON,KS,1440
KOECHNER PHARMACIES LLC,ATCHISON,KS,40
DILLON COMPANIES LLC,AUGUSTA,KS,4263.25
DILLON COMPANIES LLC,COLBY,KS,564.38
CVS PHARMACY #17502,DERBY,KS,640
DILLON COMPANIES LLC,DERBY,KS,5764.68
DILLON COMPANIES LLC,DODGE CITY,KS,2697.21
DILLON COMPANIES LLC,EL DORADO,KS,5793.81
CVS PHARMACY #10294,EMPORIA,KS,2720
NEWMAN REGIONAL HEALTH,EMPORIA,KS,268.32
DILLON COMPANIES LLC,GARDEN CITY,KS,8102.15
CVS PHARMACY #10862,GARDNER,KS,880
DILLON COMPANIES LLC,GREAT BEND,KS,4917.34
DILLON COMPANIES LLC,HAYS,KS,7995.57
DILLON COMPANIES LLC,HUTCHINSON,KS,8575.45
DILLON COMPANIES LLC,HUTCHINSON,KS,11419.28
CVS PHARMACY #10304,JUNCTION CITY,KS,3920
DILLON COMPANIES LLC,JUNCTION CITY,KS,9032.25
CVS PHARMACY #08584,KANSAS CITY,KS,320
CVS PHARMACY #08600,KANSAS CITY,KS,680
CVS PHARMACY #08603,KANSAS CITY,KS,1800
CVS PHARMACY #08608,KANSAS CITY,KS,1040
CVS PHARMACY #08919,KANSAS CITY,KS,600
CVS PHARMACY #17299,KANSAS CITY,KS,2240
TURNER HOUSE CLINIC INC,KANSAS CITY,KS,17530.82
ANDERSON-ROGERS PHARMACY LLC,LAWRENCE,KS,18042.59
CVS PHARMACY #00676,LAWRENCE,KS,1040
CVS PHARMACY #03212,LAWRENCE,KS,440
CVS PHARMACY #16147,LAWRENCE,KS,680
DILLON COMPANIES LLC,LAWRENCE,KS,12077.15
DILLON COMPANIES LLC,LAWRENCE,KS,11652.3
DILLON COMPANIES LLC,LAWRENCE,KS,18729.72
CVS PHARMACY #05268,LEAVENWORTH,KS,4720
DILLON COMPANIES LLC,LEAVENWORTH,KS,4865
CVS PHARMACY #08237,LEAWOOD,KS,440
CVS PHARMACY #08588,LEAWOOD,KS,400
CVS PHARMACY #04323,LENEXA,KS,680
CVS PHARMACY #05265,LENEXA,KS,480
DILLON COMPANIES LLC,LIBERAL,KS,3540.82
CVS PHARMACY #16942,MANHATTAN,KS,560
DILLON COMPANIES LLC,MANHATTAN,KS,19227.85
CHENNELL FAMILY WELLNESS LLC,MCPHERSON,KS,976.7
DILLON COMPANIES LLC,MCPHERSON,KS,4629.56
CVS PHARMACY #05272,MISSION,KS,680
CVS PHARMACY #16819,MISSION,KS,280
DILLON COMPANIES LLC,NEWTON,KS,12743.44
CVS PHARMACY #05156,OLATHE,KS,1000
CVS PHARMACY #05257,OLATHE,KS,760
CVS PHARMACY #05274,OLATHE,KS,1400
CVS PHARMACY #16871,OLATHE,KS,120
CVS PHARMACY #16883,OLATHE,KS,240
CVS PHARMACY #05271,OVERLAND PARK,KS,160
CVS PHARMACY #08573,OVERLAND PARK,KS,240
CVS PHARMACY #08582,OVERLAND PARK,KS,1480
CVS PHARMACY #08585,OVERLAND PARK,KS,200
CVS PHARMACY #08586,OVERLAND PARK,KS,40
CVS PHARMACY #08601,OVERLAND PARK,KS,640
CVS PHARMACY #08602,OVERLAND PARK,KS,400
CVS PHARMACY #08606,OVERLAND PARK,KS,280
CVS PHARMACY #16884,OVERLAND PARK,KS,240
CVS PHARMACY #16963,OVERLAND PARK,KS,720
CVS PHARMACY #17135,OVERLAND PARK,KS,280
DILLON COMPANIES LLC,PITTSBURG,KS,4224.37
CVS PHARMACY #05261,PRAIRIE VILLAGE,KS,320
DILLON COMPANIES LLC,PRATT,KS,3458.62
PRATT COUNTY HEALTH DEPARTMENT,PRATT,KS,232.64
GREAT PLAINS OF CHEYENNE COUNTY  INC.,SAINT FRANCIS,KS,238.1
CVS PHARMACY #10327,SALINA,KS,3200
DILLON COMPANIES LLC,SALINA,KS,14053.66
DILLON COMPANIES LLC,SALINA,KS,9292.34
SALINA FAMILY HEALTHCARE CENTER,SALINA,KS,8580.47
CVS PHARMACY #04521,SHAWNEE,KS,960
CVS PHARMACY #05266,SHAWNEE,KS,680
CVS PHARMACY #08580,SHAWNEE,KS,720
CVS PHARMACY #16885,SHAWNEE,KS,280
THE DOWNTOWN DRUGSTORE,TONGANOXIE,KS,320
COTTON ONEIL CLINIC,TOPEKA,KS,3362.71
CVS PHARMACY #08605,TOPEKA,KS,320
CVS PHARMACY #10244,TOPEKA,KS,360
DILLON COMPANIES LLC,TOPEKA,KS,9069.92
DILLON COMPANIES LLC,TOPEKA,KS,22240.53
DILLON COMPANIES LLC,TOPEKA,KS,11528.84
DILLON COMPANIES LLC,WELLINGTON,KS,6473.49
CVS PHARMACY #10070,WICHITA,KS,7640
CVS PHARMACY #10075,WICHITA,KS,1920
CVS PHARMACY #10077,WICHITA,KS,2240
CVS PHARMACY #10159,WICHITA,KS,840
CVS PHARMACY #17060,WICHITA,KS,1080
CVS PHARMACY #17061,WICHITA,KS,640
CVS PHARMACY #17062,WICHITA,KS,360
DILLON COMPANIES LLC,WICHITA,KS,18263.3
DILLON COMPANIES LLC,WICHITA,KS,7373.54
DILLON COMPANIES LLC,WICHITA,KS,7122.78
DILLON COMPANIES LLC,WICHITA,KS,10883.38
DILLON COMPANIES LLC,WICHITA,KS,4342.45
DILLON COMPANIES LLC,WICHITA,KS,18859.44
DILLON COMPANIES LLC,WICHITA,KS,3462.6
DILLON COMPANIES LLC,WICHITA,KS,9461.64
DILLON COMPANIES LLC,WICHITA,KS,13157.52
DILLON COMPANIES LLC,WICHITA,KS,7376.29
DILLON COMPANIES LLC,WICHITA,KS,7086.56
DILLON COMPANIES LLC,WICHITA,KS,4325.87
DILLON COMPANIES LLC,WICHITA,KS,7072.36
DILLON COMPANIES LLC,WINFIELD,KS,4456.88
HEALTH CENTER PHARMACY INC,WINFIELD,KS,640
CVS PHARMACY #10050,BENTON,KY,40
BARREN RIVER DISTRICT HEALTH DEPARTMENT,BOWLING GREEN,KY,6800
CVS PHARMACY #10950,BOWLING GREEN,KY,40
LOGAN COUNTY HEALTH CENTER,BOWLING GREEN,KY,200
CVS PHARMACY #06338,CAMPBELLSVILLE,KY,40
CVS PHARMACY #06119,COVINGTON,KY,120
CVS PHARMACY #06335,DANVILLE,KY,40
CVS PHARMACY #10048,ELIZABETHTOWN,KY,320
ST. ELIZABETH PHYSICIANS,ERLANGER,KY,5352.55
CVS PHARMACY #02380,FLATWOODS,KY,120
CVS PHARMACY #06120,FLORENCE,KY,160
CVS PHARMACY #07648,FLORENCE,KY,240
CVS PHARMACY #16557,FLORENCE,KY,40
CVS PHARMACY #10687,FRANKFORT,KY,160
CVS PHARMACY #08905,FRANKLIN,KY,440
CVS PHARMACY #02332,GEORGETOWN,KY,80
CVS PHARMACY #06348,HARRODSBURG,KY,120
CVS PHARMACY #10155,HAZARD,KY,80
CVS PHARMACY #06217,JEFFERSONTOWN,KY,80
CVS PHARMACY #06113,LATONIA,KY,400
BAPTIST HEALTH CORBIN,LEXINGTON,KY,2321.44
BAPTIST HEALTH HARDIN,LEXINGTON,KY,48
BAPTIST HEALTH LAGRANGE,LEXINGTON,KY,360
BAPTIST HEALTH LEXINGTON,LEXINGTON,KY,367
BAPTIST HEALTH LOUISVILLE,LEXINGTON,KY,1120
BAPTIST HEALTH MADISONVILLE,LEXINGTON,KY,331.24
BAPTIST HEALTH PADUCAH,LEXINGTON,KY,280
BAPTIST HEALTH RICHMOND,LEXINGTON,KY,993.06
CVS PHARMACY #06940,LEXINGTON,KY,200
CVS PHARMACY #06942,LEXINGTON,KY,280
CVS PHARMACY #17759,LEXINGTON,KY,80
CVS PHARMACY #10278,LIBERTY,KY,80
CVS PHARMACY #06342,LONDON,KY,160
CVS PHARMACY #04779,LOUISVILLE,KY,200
CVS PHARMACY #05866,LOUISVILLE,KY,40
CVS PHARMACY #06202,LOUISVILLE,KY,80
CVS PHARMACY #06205,LOUISVILLE,KY,160
CVS PHARMACY #06206,LOUISVILLE,KY,40
CVS PHARMACY #06208,LOUISVILLE,KY,80
CVS PHARMACY #06211,LOUISVILLE,KY,40
CVS PHARMACY #06216,LOUISVILLE,KY,80
CVS PHARMACY #10532,LOUISVILLE,KY,80
CVS PHARMACY #10856,LOUISVILLE,KY,440
CVS PHARMACY #16244,LOUISVILLE,KY,120
CVS PHARMACY #17524,LOUISVILLE,KY,240
CVS PHARMACY #17608,LOUISVILLE,KY,40
TOTAL CARE PHARMACY #7,MOREHEAD,KY,73.34
CVS PHARMACY #06337,MOUNT STERLING,KY,80
CVS PHARMACY #17531,NEWPORT,KY,160
CVS PHARMACY #03995,NICHOLASVILLE,KY,120
CVS PHARMACY #07940,OWENSBORO,KY,160
CVS PHARMACY #16232,OWENSBORO,KY,40
CVS PHARMACY #02586,PADUCAH,KY,40
CVS PHARMACY #06376,PADUCAH,KY,40
CVS PHARMACY #06379,PADUCAH,KY,80
CVS PHARMACY #03016,PARIS,KY,160
CVS PHARMACY #06346,RICHMOND,KY,320
CVS PHARMACY #10200,SHELBYVILLE,KY,40
CVS PHARMACY #06340,SOUTH WILLIAMSON,KY,80
CVS PHARMACY #06334,VERSAILLES,KY,120
CVS PHARMACY #05275,ABBEVILLE,LA,80
CVS PHARMACY #05276,ALEXANDRIA,LA,40
CVS PHARMACY #05607,ALEXANDRIA,LA,40
SOUTHEASTERN GROCERS,AMITE,LA,120
CVS PHARMACY #05321,BAKER,LA,40
CVS PHARMACY #01116,BATON ROUGE,LA,40
CVS PHARMACY #04761,BATON ROUGE,LA,80
CVS PHARMACY #05317,BATON ROUGE,LA,120
CVS PHARMACY #05324,BATON ROUGE,LA,40
CVS PHARMACY #06124,BATON ROUGE,LA,80
CVS PHARMACY #08309,BATON ROUGE,LA,120
CVS PHARMACY #08961,BATON ROUGE,LA,40
CVS PHARMACY #10318,BATON ROUGE,LA,40
CVS PHARMACY #16708,BATON ROUGE,LA,120
KINGDOM KOUNSEL HEALTHCARE,BATON ROUGE,LA,600
THE BATON ROUGE CLINIC AMC,BATON ROUGE,LA,435
THE PEDIATRIC PLACE,BATON ROUGE,LA,8137.38
CVS PHARMACY #05323,BOSSIER CITY,LA,120
CVS PHARMACY #17347,BOSSIER CITY,LA,120
CVS PHARMACY #05560,BROUSSARD,LA,40
CVS PHARMACY #16996,COVINGTON,LA,80
CVS PHARMACY #05334,DENHAM SPRINGS,LA,160
CVS PHARMACY #05278,DONALDSONVILLE,LA,40
ERATH-DELCAMBRE COMMUNITY CARE CLINIC,ERATH,LA,7
CVS PHARMACY #05451,FRANKLINTON,LA,40
WILLIAMS FAMILY PHARMACY,FRANKLINTON,LA,4903.4
DUPRE PHARMACY,GONZALES,LA,56.94
PHARMACY CENTRAL LLC,GREENWELL SPRINGS,LA,5805.72
CVS PHARMACY #05280,HAMMOND,LA,240
CVS PHARMACY #05611,HOUMA,LA,40
CVS PHARMACY #10885,HOUMA,LA,40
LALLIE KEMP MEDICAL CENTER,INDEPENDENCE,LA,136.94
JACKSON PARISH HOSPITAL,JONESBORO,LA,80
CVS PHARMACY #05282,KAPLAN,LA,120
CVS PHARMACY #05333,KENNER,LA,40
CVS PHARMACY #05349,KENNER,LA,40
CVS PHARMACY #17562,KENNER,LA,40
CVS PHARMACY #05283,LAFAYETTE,LA,120
CVS PHARMACY #05284,LAFAYETTE,LA,120
CVS PHARMACY #05285,LAFAYETTE,LA,40
CVS PHARMACY #05443,LAFAYETTE,LA,40
CVS PHARMACY #05554,LAFAYETTE,LA,160
CVS PHARMACY #08957,LAFAYETTE,LA,80
CVS PHARMACY #16805,LAFAYETTE,LA,560
CVS PHARMACY #17441,LAFAYETTE,LA,120
CVS PHARMACY #16738,LAKE CHARLES,LA,80
IMPERIAL HEALTH LLP,LAKE CHARLES,LA,492.58
CVS PHARMACY #10558,LEESVILLE,LA,160
CVS PHARMACY #05528,LULING,LA,80
CVS PHARMACY #06360,MANDEVILLE,LA,80
DESOTO REGIONAL HEALTH SYSTEM,MANSFIELD,LA,160
CVS PHARMACY #11427,MARRERO,LA,160
CVS PHARMACY #01017,METAIRIE,LA,40
CVS PHARMACY #05383,METAIRIE,LA,40
CVS PHARMACY #08999,METAIRIE,LA,80
CVS PHARMACY #10145,METAIRIE,LA,160
CVS PHARMACY #16781,METAIRIE,LA,40
MINDEN FAMILY CARE CENTER LLC,MINDEN,LA,30.08
CVS PHARMACY #05344,MONROE,LA,80
CVS PHARMACY #05513,MONROE,LA,80
CVS PHARMACY #05299,NEW IBERIA,LA,240
CHILDRENS HOSPITAL,NEW ORLEANS,LA,198.82
CVS PHARMACY #00167,NEW ORLEANS,LA,640
CVS PHARMACY #00763,NEW ORLEANS,LA,80
CVS PHARMACY #05387,NEW ORLEANS,LA,160
CVS PHARMACY #05503,NEW ORLEANS,LA,80
CVS PHARMACY #08266,NEW ORLEANS,LA,120
CVS PHARMACY #10058,NEW ORLEANS,LA,120
CVS PHARMACY #10483,NEW ORLEANS,LA,80
CVS PHARMACY #10559,NEW ORLEANS,LA,80
NEW ORLEANS EAST HOSPITAL,NEW ORLEANS,LA,471.78
TOURO INFIRMARY,NEW ORLEANS,LA,526.88
UNIVERSITY MEDICAL CENTER MANAGEMENT CORPORATION,NEW ORLEANS,LA,3081.68
WEST JEFFERSON MEDICAL CENTER,NEW ORLEANS,LA,1080.43
CVS PHARMACY #05292,OPELOUSAS,LA,80
CVS PHARMACY #05544,PINEVILLE,LA,40
CVS PHARMACY #05293,PLAQUEMINE,LA,40
CVS PHARMACY #01661,PRAIRIEVILLE,LA,40
CVS PHARMACY #05340,RIVER RIDGE,LA,40
CVS PHARMACY #05331,SHREVEPORT,LA,160
CVS PHARMACY #05360,SHREVEPORT,LA,80
CVS PHARMACY #10941,SHREVEPORT,LA,80
CVS PHARMACY #16686,SHREVEPORT,LA,40
DAVID RAINES COMMUNITY HEALTH CENTERS INC.,SHREVEPORT,LA,40
JEFFREY KERST,SHREVEPORT,LA,1978.02
CVS PHARMACY #05330,SLIDELL,LA,160
CVS PHARMACY #05473,SLIDELL,LA,120
CVS PHARMACY #07192,SLIDELL,LA,40
CVS PHARMACY #05296,ST. MARTINVILLE,LA,80
CVS PHARMACY #08921,TERRYTOWN,LA,200
CVS PHARMACY #05297,THIBODAUX,LA,240
CVS PHARMACY #05521,WEST MONROE,LA,40
CVS PHARMACY #10219,WEST MONROE,LA,320
CVS PHARMACY #00016,YOUNGSVILLE,LA,80
BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA INC,920 WINTER ST,MA,68.39
BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA INC.,920 WINTER ST,MA,8972.31
LIBERTY DIALYSIS - HAWAII LLC,920 WINTER ST,MA,520
LIBERTY DIALYSIS-BERLIN LLC,920 WINTER ST,MA,40
LIBERTY DIALYSIS-HAWAII LLC,920 WINTER ST,MA,2280
LIBERTY DIALYSIS-HOPEWELL LLC,920 WINTER ST,MA,80
LIBERTY DIALYSIS-IDAHO FALLS LLC,920 WINTER ST,MA,240
LIBERTY DIALYSIS-LEBANON LLC,920 WINTER ST,MA,56.94
LIBERTY DIALYSIS-SOUTHPOINTE LLC,920 WINTER ST,MA,40
LIBERTY DIALYSIS-WASHINGTON LLC,920 WINTER ST,MA,80
LIBERTY-MONROE CLINIC DIALYSIS PARTNERS LLC,920 WINTER ST,MA,56.94
NORTH GWINNETT DIALYSIS LLC,920 WINTER ST,MA,120
NRA-HOLLYWOOD SOUTH CAROLINA LLC,920 WINTER ST,MA,80
RAI CARE CENTERS OF FLORIDA I LLC,920 WINTER ST,MA,1044.54
RAI CARE CENTERS OF FLORIDA II LLC,920 WINTER ST,MA,720
RAI CARE CENTERS OF ILLINOIS I LLC,920 WINTER ST,MA,120
RAI CARE CENTERS OF MARYLAND I LLC,920 WINTER ST,MA,240
RAI CARE CENTERS OF MICHIGAN I LLC,920 WINTER ST,MA,240
RAI CARE CENTERS OF NORTHERN CALIFORNIA I LLC,920 WINTER ST,MA,781.64
RAI CARE CENTERS OF NORTHERN CALIFORNIA II LLC,920 WINTER ST,MA,1067.76
RAI CARE CENTERS OF SOUTH CAROLINA I LLC,920 WINTER ST,MA,840
RAI CARE CENTERS OF SOUTHERN CALIFORNIA I LLC,920 WINTER ST,MA,804.7
RAI CARE CENTERS OF SOUTHERN CALIFORNIA II LLC,920 WINTER ST,MA,3115.89
RAI CARE CENTERS OF VIRGINIA I LLC,920 WINTER ST,MA,640
CVS PHARMACY #17253,ABINGTON,MA,40
CVS PHARMACY #00654,ACTON,MA,40
CVS PHARMACY #00706,ACTON,MA,80
CVS PHARMACY #00859,AGAWAM,MA,80
CVS PHARMACY #02476,AGAWAM,MA,40
CVS PHARMACY #00073,AMESBURY,MA,120
CVS PHARMACY #00818,AMHERST,MA,40
CVS PHARMACY #01095,AMHERST,MA,80
CVS PHARMACY #01174,ANDOVER,MA,40
CVS PHARMACY #00130,ARLINGTON,MA,440
CVS PHARMACY #00278,ARLINGTON,MA,160
CVS PHARMACY #01896,ATTLEBORO,MA,40
CVS PHARMACY #00708,AUBURN,MA,80
CVS PHARMACY #00316,BELLINGHAM,MA,40
CVS PHARMACY #00025,BELMONT,MA,40
CVS PHARMACY #00751,BEVERLY,MA,80
CVS PHARMACY #00915,BEVERLY,MA,40
CVS PHARMACY #01225,BLACKSTONE,MA,40
CVS PHARMACY #00049,BOSTON,MA,80
CVS PHARMACY #00361,BOSTON,MA,40
CVS PHARMACY #00524,BOSTON,MA,40
CVS PHARMACY #01258,BOSTON,MA,120
CVS PHARMACY #01259,BOSTON,MA,40
CVS PHARMACY #01900,BOSTON,MA,120
CVS PHARMACY #08972,BOSTON,MA,40
CVS PHARMACY #10517,BOSTON,MA,40
CVS PHARMACY #11082,BOSTON,MA,80
SOUTH COVE COMMUNITY HEALTH CENTER,BOSTON,MA,256.94
CVS PHARMACY #00686,BRAINTREE,MA,80
CVS PHARMACY #01297,BRAINTREE,MA,160
CVS PHARMACY #01861,BRAINTREE,MA,160
CVS PHARMACY #17600,BRAINTREE,MA,80
CVS PHARMACY #00913,BRIDGEWATER,MA,120
CVS PHARMACY #03890,BRIGHTON,MA,120
CVS PHARMACY #00861,BROCKTON,MA,40
CVS PHARMACY #01008,BROCKTON,MA,160
CVS PHARMACY #01248,BROCKTON,MA,40
CVS PHARMACY #00006,BROOKLINE,MA,40
CVS PHARMACY #01071,BROOKLINE,MA,40
CVS PHARMACY #01212,BROOKLINE,MA,80
CVS PHARMACY #01023,BURLINGTON,MA,120
CVS PHARMACY #00240,CAMBRIDGE,MA,120
CVS PHARMACY #00717,CAMBRIDGE,MA,40
CVS PHARMACY #01022,CAMBRIDGE,MA,80
CVS PHARMACY #00321,CANTON,MA,80
CVS PHARMACY #01009,CHARLESTOWN,MA,80
CVS PHARMACY #00038,CHARLTON,MA,40
CVS PHARMACY #00109,CHELSEA,MA,80
CVS PHARMACY #00693,CHICOPEE,MA,40
CVS PHARMACY #00843,CHICOPEE,MA,120
CVS PHARMACY #00920,CLINTON,MA,40
CVS PHARMACY #01182,COHASSET,MA,120
CVS PHARMACY #00604,CONCORD,MA,40
CVS PHARMACY #01011,DANVERS,MA,40
CVS PHARMACY #16545,DANVERS,MA,40
CVS PHARMACY #01531,DEDHAM,MA,120
CVS PHARMACY #02592,DORCHESTER,MA,120
CVS PHARMACY #11036,DORCHESTER,MA,80
CVS PHARMACY #00632,DRACUT,MA,40
CVS PHARMACY #01257,E. BRIDGEWATER,MA,40
CVS PHARMACY #01265,EAST BOSTON,MA,80
CHARLTON MEMORIAL HOSPITAL,FALL RIVER,MA,479.37
CVS PHARMACY #00020,FALL RIVER,MA,120
CVS PHARMACY #00207,FALL RIVER,MA,120
CVS PHARMACY #02878,FALL RIVER,MA,80
CVS PHARMACY #00594,FALMOUTH,MA,160
CVS PHARMACY #01034,FRAMINGHAM,MA,40
CVS PHARMACY #01851,FRAMINGHAM,MA,40
CVS PHARMACY #01871,FRAMINGHAM,MA,40
CVS PHARMACY #16651,FRAMINGHAM,MA,40
CVS PHARMACY #00929,FRANKLIN,MA,240
CVS PHARMACY #02098,GARDNER,MA,40
CVS PHARMACY #00272,GLOUCESTER,MA,40
CVS PHARMACY #07111,GRANBY,MA,40
CVS PHARMACY #08970,GREAT BARRINGTON,MA,40
CVS PHARMACY #01094,GREENFIELD,MA,160
CVS PHARMACY #01945,HANOVER,MA,120
CVS PHARMACY #01249,HANSON,MA,120
CVS PHARMACY #00023,HAVERHILL,MA,40
CVS PHARMACY #00365,HAVERHILL,MA,160
CVS PHARMACY #01886,HAVERHILL,MA,40
CVS PHARMACY #02596,HAVERHILL,MA,40
CVS PHARMACY #01189,HINGHAM,MA,80
CVS PHARMACY #01953,HINGHAM,MA,40
CVS PHARMACY #01251,HOLBROOK,MA,80
CVS PHARMACY #02071,HOLYOKE,MA,40
CVS PHARMACY #01179,HUDSON,MA,40
CVS PHARMACY #01869,HYANNIS,MA,40
CVS PHARMACY #10852,HYANNIS,MA,40
CVS PHARMACY #02070,JAMAICA PLAIN,MA,200
CVS PHARMACY #00634,KINGSTON,MA,240
CVS PHARMACY #16826,KINGSTON,MA,80
CVS PHARMACY #05407,LAKEVILLE,MA,80
CVS PHARMACY #17210,LANESBOROUGH,MA,40
CVS PHARMACY #00507,LEOMINSTER,MA,40
CVS PHARMACY #00810,LEOMINSTER,MA,40
CVS PHARMACY #01885,LITTLETON,MA,80
CVS PHARMACY #01056,LOWELL,MA,80
CVS PHARMACY #00315,LUDLOW,MA,40
CVS PHARMACY #01844,LUNENBURG,MA,200
CVS PHARMACY #00075,LYNN,MA,120
CVS PHARMACY #00672,MALDEN,MA,40
CVS PHARMACY #01001,MALDEN,MA,80
CVS PHARMACY #08906,MALDEN,MA,40
CVS PHARMACY #00314,MARBLEHEAD,MA,40
CVS PHARMACY #02401,MARSHFIELD,MA,80
CVS PHARMACY #00973,MAYNARD,MA,40
CVS PHARMACY #00026,MEDFORD,MA,40
CVS PHARMACY #17736,MEDFORD,MA,40
CVS PHARMACY #01852,MEDWAY,MA,80
CVS PHARMACY #00159,MELROSE,MA,40
CVS PHARMACY #00615,METHUEN,MA,40
CVS PHARMACY #01085,METHUEN,MA,40
CVS PHARMACY #01872,MIDDLEBORO,MA,80
CVS PHARMACY #01221,MILFORD,MA,40
CVS PHARMACY #02171,MILLBURY,MA,40
CVS PHARMACY #00995,MILLIS,MA,120
MANET COMMUNITY HEALTH CENTER,N. QUINCY,MA,40
CVS PHARMACY #02125,NATICK,MA,40
CVS PHARMACY #00674,NEEDHAM,MA,80
CVS PHARMACY #02128,NEEDHAM,MA,120
CVS PHARMACY #00492,NEW BEDFORD,MA,40
CVS PHARMACY #00685,NEW BEDFORD,MA,160
CVS PHARMACY #00799,NEW BEDFORD,MA,120
SOUTHCOAST HOSPITALS GROUP,NEW BEDFORD,MA,1265.72
CVS PHARMACY #10502,NEWBURYPORT,MA,40
CVS PHARMACY #00107,NEWTON,MA,40
CVS PHARMACY #06505,NEWTON,MA,240
CVS PHARMACY #00209,NORTH ANDOVER,MA,40
CVS PHARMACY #00131,NORTH BILLERICA,MA,40
CVS PHARMACY #17247,NORTH DARTMOUTH,MA,40
CVS PHARMACY #05826,NORTH EASTON,MA,80
CVS PHARMACY #01603,NORWELL,MA,40
CVS PHARMACY #02054,NORWOOD,MA,40
CVS PHARMACY #00719,ORLEANS,MA,40
CVS PHARMACY #00969,PALMER,MA,200
CVS PHARMACY #00318,PEABODY,MA,40
CVS PHARMACY #01865,PEMBROKE,MA,320
CVS PHARMACY #01867,PLYMOUTH,MA,40
CVS PHARMACY #02138,PLYMOUTH,MA,120
CVS PHARMACY #10932,PLYMOUTH,MA,160
CVS PHARMACY #11131,PROVINCETOWN,MA,80
CVS PHARMACY #02454,QUINCY,MA,80
CVS PHARMACY #17059,REVERE,MA,40
CVS PHARMACY #00281,ROCKLAND,MA,80
CITY OF SANFORD,ROWLEY,MA,259.65
CVS PHARMACY #00261,SALEM,MA,40
CVS PHARMACY #00457,SALEM,MA,40
CVS PHARMACY #01025,SALEM,MA,40
CVS PHARMACY #00636,SANDWICH,MA,40
CVS PHARMACY #01850,SANDWICH,MA,80
CVS PHARMACY #01854,SCITUATE,MA,160
CVS PHARMACY #10596,SHREWSBURY,MA,240
CVS PHARMACY #00237,SOMERSET,MA,40
CVS PHARMACY #02206,SOUTH ATTLEBORO,MA,40
CVS PHARMACY #00979,SOUTH BOSTON,MA,80
CVS PHARMACY #01955,SOUTH DARTMOUTH,MA,40
CVS PHARMACY #00972,SOUTH EASTON,MA,40
CVS PHARMACY #01171,SOUTH HAMILTON,MA,40
CVS PHARMACY #00382,SOUTH WEYMOUTH,MA,80
CVS PHARMACY #01005,SOUTH WEYMOUTH,MA,160
CVS PHARMACY #00765,SOUTHBRIDGE,MA,40
HARRINGTON MEMORIAL HOSPITAL,SOUTHBRIDGE,MA,1960
CVS PHARMACY #01130,SPRINGFIELD,MA,40
CVS PHARMACY #01291,SPRINGFIELD,MA,200
CVS PHARMACY #04471,SPRINGFIELD,MA,40
CVS PHARMACY #00669,SWAMPSCOTT,MA,160
CVS PHARMACY #17589,SWANSEA,MA,40
CVS PHARMACY #01041,TAUNTON,MA,40
CVS PHARMACY #05402,TAUNTON,MA,40
CVS PHARMACY #16547,TAUNTON,MA,80
CVS PHARMACY #02055,TEWKSBURY,MA,40
CVS PHARMACY #00946,UXBRIDGE,MA,40
CVS PHARMACY #00119,WAKEFIELD,MA,80
CVS PHARMACY #00844,WALPOLE,MA,200
021808 LLC,WALTHAM,MA,80
022808 KENWOOD LLC,WALTHAM,MA,80
2217 EAST HIGH STREET LLC,WALTHAM,MA,120
ALBUQUERQUE WESTSIDE LLC,WALTHAM,MA,320
AVANTUS RENAL THERAPY NEW YORK LLC,WALTHAM,MA,2608.25
BALTIMORE COUNTY DIALYSIS LLC,WALTHAM,MA,2360
BERGEN RENAL CARE CENTER LLC,WALTHAM,MA,280
BIO-MEDICAL APPLICATION OF MASSACHUSETTS INC.,WALTHAM,MA,318.26
BIO-MEDICAL APPLICATIONS OF AGUADILLA INC.,WALTHAM,MA,862.22
BIO-MEDICAL APPLICATIONS OF ALABAMA INC.,WALTHAM,MA,1600
BIO-MEDICAL APPLICATIONS OF AMARILLO INC.,WALTHAM,MA,120
BIO-MEDICAL APPLICATIONS OF ARECIBO INC.,WALTHAM,MA,4507.19
BIO-MEDICAL APPLICATIONS OF ARIZONA LLC,WALTHAM,MA,3193.88
BIO-MEDICAL APPLICATIONS OF ARKANSAS INC.,WALTHAM,MA,160
BIO-MEDICAL APPLICATIONS OF BAYAMON INC.,WALTHAM,MA,1617.63
BIO-MEDICAL APPLICATIONS OF CAGUAS INC.,WALTHAM,MA,1493.3
BIO-MEDICAL APPLICATIONS OF CALIFORNIA INC.,WALTHAM,MA,8062.77
