Comparison_Type,Week_Ending,Current_Season_Week_Ending_Label,Comparison_Group1,Comparison_Group2,Comparison_Group1_Point_Estimate,Comparison_Group2_Point_Estimate,Difference_Estimate,Difference_Estimate_Lower_95_CI,Difference_Estimate_Upper_95_CI,Signficant_at_95_Pct,Comparison_Group1_Sort_Order,Comparison_Group2_Sort_Order
Within Season Poverty Comparison,12/16/2023,12/16/2023,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",49.6,37,12.7,11.05,14.3,*,14,15
Within Season Poverty Comparison,12/23/2023,12/23/2023,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",49.7,37.7,12,10.24,13.78,*,14,15
Within Season Poverty Comparison,12/30/2023,12/30/2023,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",49.7,37.7,12,10.25,13.78,*,14,15
Within Season Poverty Comparison,01/06/2024,01/06/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",52.6,41.2,11.4,9.78,13.12,*,14,15
Within Season Poverty Comparison,01/13/2024,01/13/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",52.7,41.4,11.3,9.61,13,*,14,15
Within Season Poverty Comparison,01/20/2024,01/20/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",53.2,41.6,11.6,9.91,13.33,*,14,15
Within Season Poverty Comparison,01/27/2024,01/27/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",53.5,42.1,11.4,9.56,13.29,*,14,15
Within Season Poverty Comparison,02/03/2024,02/03/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",54.9,43.6,11.4,9.6,13.11,*,14,15
Within Season Poverty Comparison,02/10/2024,02/10/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",55.1,43.7,11.4,9.61,13.16,*,14,15
Within Season Poverty Comparison,02/17/2024,02/17/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",55.2,44,11.2,9.36,12.99,*,14,15
Within Season Poverty Comparison,02/24/2024,02/24/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",55.2,44.1,11.1,9.33,12.97,*,14,15
Within Season Poverty Comparison,03/02/2024,03/02/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56,45.3,10.7,8.86,12.55,*,14,15
Within Season Poverty Comparison,03/09/2024,03/09/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.1,45.7,10.4,8.5,12.29,*,14,15
Within Season Poverty Comparison,03/16/2024,03/16/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.2,45.7,10.5,8.57,12.35,*,14,15
Within Season Poverty Comparison,03/23/2024,03/23/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.4,46,10.4,8.49,12.34,*,14,15
Within Season Poverty Comparison,03/30/2024,03/30/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.5,46,10.5,8.53,12.38,*,14,15
Within Season Poverty Comparison,04/06/2024,04/06/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.7,47.3,9.4,7.35,11.5,*,14,15
Within Season Poverty Comparison,04/13/2024,04/13/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.7,47.3,9.4,7.35,11.5,*,14,15
Within Season Poverty Comparison,04/20/2024,04/20/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.7,47.5,9.2,7.14,11.27,*,14,15
Within Season Poverty Comparison,04/27/2024,04/27/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",56.8,47.5,9.2,7.16,11.29,*,14,15
Within Season Poverty Comparison,05/04/2024,05/04/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",57.3,47.5,9.7,7.62,11.87,*,14,15
Within Season Poverty Comparison,05/11/2024,05/11/2024,"Above Poverty, Income >= $75k","Above Poverty, Income < $75k",57.3,47.5,9.7,7.62,11.87,*,14,15
Within Season Poverty Comparison,10/07/2023,10/07/2023,"Above Poverty, Income >= $75k",Below Poverty,16.8,20.8,-3.9,-5.64,-2.2,*,14,16
Within Season Poverty Comparison,10/07/2023,10/07/2023,"Above Poverty, Income < $75k",Below Poverty,17.1,20.8,-3.7,-5.59,-1.76,*,15,16
Within Season Poverty Comparison,10/14/2023,10/14/2023,"Above Poverty, Income < $75k",Below Poverty,18.3,22.2,-3.9,-5.86,-1.84,*,15,16
Within Season Poverty Comparison,10/14/2023,10/14/2023,"Above Poverty, Income >= $75k",Below Poverty,21.2,22.2,-1,-2.94,0.98,,14,16
Within Season Poverty Comparison,10/21/2023,10/21/2023,"Above Poverty, Income >= $75k",Below Poverty,26.7,25.5,1.2,-1.54,3.97,,14,16
Within Season Poverty Comparison,10/21/2023,10/21/2023,"Above Poverty, Income < $75k",Below Poverty,20.6,25.5,-4.9,-7.67,-2.19,*,15,16
Within Season Poverty Comparison,10/28/2023,10/28/2023,"Above Poverty, Income < $75k",Below Poverty,21.5,27.9,-6.4,-9.77,-3.1,*,15,16
Within Season Poverty Comparison,10/28/2023,10/28/2023,"Above Poverty, Income >= $75k",Below Poverty,28.6,27.9,0.7,-2.59,4.04,,14,16
Within Season Poverty Comparison,11/04/2023,11/04/2023,"Above Poverty, Income >= $75k",Below Poverty,38.3,30.9,7.4,5.73,9.09,*,14,16
Within Season Poverty Comparison,11/04/2023,11/04/2023,"Above Poverty, Income < $75k",Below Poverty,29,30.9,-1.9,-3.74,-0.06,*,15,16
Within Season Poverty Comparison,11/11/2023,11/11/2023,"Above Poverty, Income < $75k",Below Poverty,30,31.4,-1.4,-3.34,0.59,,15,16
Within Season Poverty Comparison,11/11/2023,11/11/2023,"Above Poverty, Income >= $75k",Below Poverty,41.1,31.4,9.8,7.88,11.66,*,14,16
Within Season Poverty Comparison,11/18/2023,11/18/2023,"Above Poverty, Income >= $75k",Below Poverty,43.3,32,11.3,9.24,13.29,*,14,16
Within Season Poverty Comparison,11/18/2023,11/18/2023,"Above Poverty, Income < $75k",Below Poverty,30.7,32,-1.3,-3.46,0.9,,15,16
Within Season Poverty Comparison,11/25/2023,11/25/2023,"Above Poverty, Income < $75k",Below Poverty,31.5,33.4,-1.9,-4.61,0.72,,15,16
Within Season Poverty Comparison,11/25/2023,11/25/2023,"Above Poverty, Income >= $75k",Below Poverty,44.2,33.4,10.8,8.27,13.32,*,14,16
Within Season Poverty Comparison,12/02/2023,12/02/2023,"Above Poverty, Income >= $75k",Below Poverty,48.8,39.3,9.4,7.49,11.36,*,14,16
Within Season Poverty Comparison,12/02/2023,12/02/2023,"Above Poverty, Income < $75k",Below Poverty,36.6,39.3,-2.8,-4.86,-0.67,*,15,16
Within Season Poverty Comparison,12/09/2023,12/09/2023,"Above Poverty, Income < $75k",Below Poverty,37,39.4,-2.4,-4.55,-0.3,*,15,16
Within Season Poverty Comparison,12/09/2023,12/09/2023,"Above Poverty, Income >= $75k",Below Poverty,49.3,39.4,9.9,7.93,11.85,*,14,16
Within Season Poverty Comparison,12/16/2023,12/16/2023,"Above Poverty, Income >= $75k",Below Poverty,49.6,40.5,9.2,6.75,11.58,*,14,16
Within Season Poverty Comparison,12/16/2023,12/16/2023,"Above Poverty, Income < $75k",Below Poverty,37,40.5,-3.5,-6.05,-0.97,*,15,16
Within Season Poverty Comparison,12/23/2023,12/23/2023,"Above Poverty, Income < $75k",Below Poverty,37.7,41.3,-3.6,-6.3,-0.85,*,15,16
Within Season Poverty Comparison,12/23/2023,12/23/2023,"Above Poverty, Income >= $75k",Below Poverty,49.7,41.3,8.4,5.92,10.95,*,14,16
Within Season Poverty Comparison,12/30/2023,12/30/2023,"Above Poverty, Income >= $75k",Below Poverty,49.7,41.4,8.3,5.81,10.85,*,14,16
Within Season Poverty Comparison,12/30/2023,12/30/2023,"Above Poverty, Income < $75k",Below Poverty,37.7,41.4,-3.7,-6.41,-0.95,*,15,16
Within Season Poverty Comparison,01/06/2024,01/06/2024,"Above Poverty, Income < $75k",Below Poverty,41.2,44.6,-3.4,-5.72,-1.1,*,15,16
Within Season Poverty Comparison,01/06/2024,01/06/2024,"Above Poverty, Income >= $75k",Below Poverty,52.6,44.6,8,5.93,10.15,*,14,16
Within Season Poverty Comparison,01/13/2024,01/13/2024,"Above Poverty, Income >= $75k",Below Poverty,52.7,44.7,8.1,5.97,10.19,*,14,16
Within Season Poverty Comparison,01/13/2024,01/13/2024,"Above Poverty, Income < $75k",Below Poverty,41.4,44.7,-3.2,-5.56,-0.9,*,15,16
Within Season Poverty Comparison,01/20/2024,01/20/2024,"Above Poverty, Income < $75k",Below Poverty,41.6,44.7,-3.1,-5.44,-0.79,*,15,16
Within Season Poverty Comparison,01/20/2024,01/20/2024,"Above Poverty, Income >= $75k",Below Poverty,53.2,44.7,8.5,6.38,10.63,*,14,16
Within Season Poverty Comparison,01/27/2024,01/27/2024,"Above Poverty, Income >= $75k",Below Poverty,53.5,44.7,8.8,6.64,10.94,*,14,16
Within Season Poverty Comparison,01/27/2024,01/27/2024,"Above Poverty, Income < $75k",Below Poverty,42.1,44.7,-2.6,-5.06,-0.21,*,15,16
Within Season Poverty Comparison,02/03/2024,02/03/2024,"Above Poverty, Income < $75k",Below Poverty,43.6,47.7,-4.1,-6.55,-1.64,*,15,16
Within Season Poverty Comparison,02/03/2024,02/03/2024,"Above Poverty, Income >= $75k",Below Poverty,54.9,47.7,7.3,5.01,9.51,*,14,16
Within Season Poverty Comparison,02/10/2024,02/10/2024,"Above Poverty, Income >= $75k",Below Poverty,55.1,48.2,6.8,4.55,9.13,*,14,16
Within Season Poverty Comparison,02/10/2024,02/10/2024,"Above Poverty, Income < $75k",Below Poverty,43.7,48.2,-4.5,-7.04,-2.05,*,15,16
Within Season Poverty Comparison,02/17/2024,02/17/2024,"Above Poverty, Income < $75k",Below Poverty,44,49,-4.9,-7.61,-2.28,*,15,16
Within Season Poverty Comparison,02/17/2024,02/17/2024,"Above Poverty, Income >= $75k",Below Poverty,55.2,49,6.2,3.78,8.68,*,14,16
Within Season Poverty Comparison,02/24/2024,02/24/2024,"Above Poverty, Income >= $75k",Below Poverty,55.2,49,6.2,3.78,8.68,*,14,16
Within Season Poverty Comparison,02/24/2024,02/24/2024,"Above Poverty, Income < $75k",Below Poverty,44.1,49,-4.9,-7.59,-2.25,*,15,16
Within Season Poverty Comparison,03/02/2024,03/02/2024,"Above Poverty, Income < $75k",Below Poverty,45.3,51.7,-6.4,-9.3,-3.6,*,15,16
Within Season Poverty Comparison,03/02/2024,03/02/2024,"Above Poverty, Income >= $75k",Below Poverty,56,51.7,4.3,1.61,6.9,*,14,16
Within Season Poverty Comparison,03/09/2024,03/09/2024,"Above Poverty, Income >= $75k",Below Poverty,56.1,51.9,4.2,1.52,6.79,*,14,16
Within Season Poverty Comparison,03/09/2024,03/09/2024,"Above Poverty, Income < $75k",Below Poverty,45.7,51.9,-6.2,-9.11,-3.37,*,15,16
Within Season Poverty Comparison,03/16/2024,03/16/2024,"Above Poverty, Income < $75k",Below Poverty,45.7,51.9,-6.2,-9.01,-3.48,*,15,16
Within Season Poverty Comparison,03/16/2024,03/16/2024,"Above Poverty, Income >= $75k",Below Poverty,56.2,51.9,4.2,1.69,6.74,*,14,16
Within Season Poverty Comparison,03/23/2024,03/23/2024,"Above Poverty, Income >= $75k",Below Poverty,56.4,52.1,4.4,1.82,6.88,*,14,16
Within Season Poverty Comparison,03/23/2024,03/23/2024,"Above Poverty, Income < $75k",Below Poverty,46,52.1,-6.1,-8.82,-3.3,*,15,16
Within Season Poverty Comparison,03/30/2024,03/30/2024,"Above Poverty, Income < $75k",Below Poverty,46,52.1,-6,-8.8,-3.28,*,15,16
Within Season Poverty Comparison,03/30/2024,03/30/2024,"Above Poverty, Income >= $75k",Below Poverty,56.5,52.1,4.4,1.88,6.95,*,14,16
Within Season Poverty Comparison,04/06/2024,04/06/2024,"Above Poverty, Income >= $75k",Below Poverty,56.7,53,3.8,1.17,6.38,*,14,16
Within Season Poverty Comparison,04/06/2024,04/06/2024,"Above Poverty, Income < $75k",Below Poverty,47.3,53,-5.6,-8.59,-2.71,*,15,16
Within Season Poverty Comparison,04/13/2024,04/13/2024,"Above Poverty, Income < $75k",Below Poverty,47.3,53.1,-5.8,-8.68,-2.83,*,15,16
Within Season Poverty Comparison,04/13/2024,04/13/2024,"Above Poverty, Income >= $75k",Below Poverty,56.7,53.1,3.7,1.08,6.26,*,14,16
Within Season Poverty Comparison,04/20/2024,04/20/2024,"Above Poverty, Income >= $75k",Below Poverty,56.7,53.1,3.7,1.08,6.23,*,14,16
Within Season Poverty Comparison,04/20/2024,04/20/2024,"Above Poverty, Income < $75k",Below Poverty,47.5,53.1,-5.5,-8.45,-2.64,*,15,16
Within Season Poverty Comparison,04/27/2024,04/27/2024,"Above Poverty, Income < $75k",Below Poverty,47.5,53.4,-5.9,-8.87,-2.91,*,15,16
Within Season Poverty Comparison,04/27/2024,04/27/2024,"Above Poverty, Income >= $75k",Below Poverty,56.8,53.4,3.3,0.67,6,*,14,16
Within Season Poverty Comparison,05/04/2024,05/04/2024,"Above Poverty, Income >= $75k",Below Poverty,57.3,54.7,2.6,-0.39,5.62,,14,16
Within Season Poverty Comparison,05/04/2024,05/04/2024,"Above Poverty, Income < $75k",Below Poverty,47.5,54.7,-7.1,-10.38,-3.88,*,15,16
Within Season Poverty Comparison,05/11/2024,05/11/2024,"Above Poverty, Income < $75k",Below Poverty,47.5,54.7,-7.1,-10.38,-3.88,*,15,16
Within Season Poverty Comparison,05/11/2024,05/11/2024,"Above Poverty, Income >= $75k",Below Poverty,57.3,54.7,2.6,-0.39,5.62,,14,16
Within Season Poverty Comparison,10/07/2023,10/07/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,16.8,18.4,-1.5,-3.39,0.32,,14,17
Within Season Poverty Comparison,10/07/2023,10/07/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,17.1,18.4,-1.3,-3.32,0.74,,15,17
Within Season Poverty Comparison,10/07/2023,10/07/2023,Below Poverty,Poverty Status Unknown,20.8,18.4,2.4,0.06,4.71,*,16,17
Within Season Poverty Comparison,10/14/2023,10/14/2023,Below Poverty,Poverty Status Unknown,22.2,19.9,2.3,-0.03,4.68,,16,17
Within Season Poverty Comparison,10/14/2023,10/14/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,18.3,19.9,-1.5,-3.62,0.56,,15,17
Within Season Poverty Comparison,10/14/2023,10/14/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,21.2,19.9,1.3,-0.7,3.38,,14,17
Within Season Poverty Comparison,10/21/2023,10/21/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,26.7,21.2,5.5,3.3,7.62,*,14,17
Within Season Poverty Comparison,10/21/2023,10/21/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,20.6,21.2,-0.7,-2.83,1.45,,15,17
Within Season Poverty Comparison,10/21/2023,10/21/2023,Below Poverty,Poverty Status Unknown,25.5,21.2,4.2,1.37,7.12,*,16,17
Within Season Poverty Comparison,10/28/2023,10/28/2023,Below Poverty,Poverty Status Unknown,27.9,22.3,5.6,2.06,9.11,*,16,17
Within Season Poverty Comparison,10/28/2023,10/28/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,21.5,22.3,-0.8,-3.43,1.73,,15,17
Within Season Poverty Comparison,10/28/2023,10/28/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,28.6,22.3,6.3,3.75,8.87,*,14,17
Within Season Poverty Comparison,11/04/2023,11/04/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,38.3,31.7,6.6,4.54,8.58,*,14,17
Within Season Poverty Comparison,11/04/2023,11/04/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,29,31.7,-2.7,-4.9,-0.59,*,15,17
Within Season Poverty Comparison,11/04/2023,11/04/2023,Below Poverty,Poverty Status Unknown,30.9,31.7,-0.8,-3.19,1.5,,16,17
Within Season Poverty Comparison,11/11/2023,11/11/2023,Below Poverty,Poverty Status Unknown,31.4,32.9,-1.5,-3.98,0.96,,16,17
Within Season Poverty Comparison,11/11/2023,11/11/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,30,32.9,-2.9,-5.21,-0.56,*,15,17
Within Season Poverty Comparison,11/11/2023,11/11/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,41.1,32.9,8.3,6,10.52,*,14,17
Within Season Poverty Comparison,11/18/2023,11/18/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,43.3,33.9,9.4,7.13,11.68,*,14,17
Within Season Poverty Comparison,11/18/2023,11/18/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,30.7,33.9,-3.1,-5.56,-0.73,*,15,17
Within Season Poverty Comparison,11/18/2023,11/18/2023,Below Poverty,Poverty Status Unknown,32,33.9,-1.9,-4.34,0.62,,16,17
Within Season Poverty Comparison,11/25/2023,11/25/2023,Below Poverty,Poverty Status Unknown,33.4,34.2,-0.8,-3.67,2.11,,16,17
Within Season Poverty Comparison,11/25/2023,11/25/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,31.5,34.2,-2.7,-5.29,-0.16,*,15,17
Within Season Poverty Comparison,11/25/2023,11/25/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,44.2,34.2,10,7.6,12.43,*,14,17
Within Season Poverty Comparison,12/02/2023,12/02/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,48.8,39.1,9.6,7.74,11.54,*,14,17
Within Season Poverty Comparison,12/02/2023,12/02/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,36.6,39.1,-2.5,-4.61,-0.49,*,15,17
Within Season Poverty Comparison,12/02/2023,12/02/2023,Below Poverty,Poverty Status Unknown,39.3,39.1,0.2,-2.16,2.59,,16,17
Within Season Poverty Comparison,12/09/2023,12/09/2023,Below Poverty,Poverty Status Unknown,39.4,39.4,0,-2.44,2.37,,16,17
Within Season Poverty Comparison,12/09/2023,12/09/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,37,39.4,-2.5,-4.58,-0.33,*,15,17
Within Season Poverty Comparison,12/09/2023,12/09/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,49.3,39.4,9.9,7.9,11.82,*,14,17
Within Season Poverty Comparison,12/16/2023,12/16/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,49.6,40.4,9.3,7.1,11.46,*,14,17
Within Season Poverty Comparison,12/16/2023,12/16/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,37,40.4,-3.4,-5.71,-1.08,*,15,17
Within Season Poverty Comparison,12/16/2023,12/16/2023,Below Poverty,Poverty Status Unknown,40.5,40.4,0.1,-2.81,3.04,,16,17
Within Season Poverty Comparison,12/23/2023,12/23/2023,Below Poverty,Poverty Status Unknown,41.3,40.5,0.8,-2.23,3.77,,16,17
Within Season Poverty Comparison,12/23/2023,12/23/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,37.7,40.5,-2.8,-5.22,-0.4,*,15,17
Within Season Poverty Comparison,12/23/2023,12/23/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,49.7,40.5,9.2,7.03,11.37,*,14,17
Within Season Poverty Comparison,12/30/2023,12/30/2023,"Above Poverty, Income >= $75k",Poverty Status Unknown,49.7,40.5,9.2,7.03,11.37,*,14,17
Within Season Poverty Comparison,12/30/2023,12/30/2023,"Above Poverty, Income < $75k",Poverty Status Unknown,37.7,40.5,-2.8,-5.22,-0.4,*,15,17
Within Season Poverty Comparison,12/30/2023,12/30/2023,Below Poverty,Poverty Status Unknown,41.4,40.5,0.9,-2.14,3.88,,16,17
Within Season Poverty Comparison,01/06/2024,01/06/2024,Below Poverty,Poverty Status Unknown,44.6,44.7,-0.1,-2.7,2.59,,16,17
Within Season Poverty Comparison,01/06/2024,01/06/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,41.2,44.7,-3.5,-5.78,-1.15,*,15,17
Within Season Poverty Comparison,01/06/2024,01/06/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,52.6,44.7,8,5.87,10.09,*,14,17
Within Season Poverty Comparison,01/13/2024,01/13/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,52.7,44.7,8.1,5.98,10.2,*,14,17
Within Season Poverty Comparison,01/13/2024,01/13/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,41.4,44.7,-3.2,-5.54,-0.89,*,15,17
Within Season Poverty Comparison,01/13/2024,01/13/2024,Below Poverty,Poverty Status Unknown,44.7,44.7,0,-2.63,2.66,,16,17
Within Season Poverty Comparison,01/20/2024,01/20/2024,Below Poverty,Poverty Status Unknown,44.7,44.7,0,-2.62,2.68,,16,17
Within Season Poverty Comparison,01/20/2024,01/20/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,41.6,44.7,-3.1,-5.41,-0.76,*,15,17
Within Season Poverty Comparison,01/20/2024,01/20/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,53.2,44.7,8.5,6.41,10.66,*,14,17
Within Season Poverty Comparison,01/27/2024,01/27/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,53.5,45,8.5,6.26,10.67,*,14,17
Within Season Poverty Comparison,01/27/2024,01/27/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,42.1,45,-3,-5.43,-0.49,*,15,17
Within Season Poverty Comparison,01/27/2024,01/27/2024,Below Poverty,Poverty Status Unknown,44.7,45,-0.3,-3.02,2.36,,16,17
Within Season Poverty Comparison,02/03/2024,02/03/2024,Below Poverty,Poverty Status Unknown,47.7,47.5,0.2,-2.64,3.07,,16,17
Within Season Poverty Comparison,02/03/2024,02/03/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,43.6,47.5,-3.9,-6.37,-1.39,*,15,17
Within Season Poverty Comparison,02/03/2024,02/03/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,54.9,47.5,7.5,5.19,9.75,*,14,17
Within Season Poverty Comparison,02/10/2024,02/10/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,55.1,47.8,7.3,4.93,9.6,*,14,17
Within Season Poverty Comparison,02/10/2024,02/10/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,43.7,47.8,-4.1,-6.65,-1.58,*,15,17
Within Season Poverty Comparison,02/10/2024,02/10/2024,Below Poverty,Poverty Status Unknown,48.2,47.8,0.4,-2.49,3.35,,16,17
Within Season Poverty Comparison,02/17/2024,02/17/2024,Below Poverty,Poverty Status Unknown,49,48,1,-1.99,4.04,,16,17
Within Season Poverty Comparison,02/17/2024,02/17/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,44,48,-3.9,-6.46,-1.39,*,15,17
Within Season Poverty Comparison,02/17/2024,02/17/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,55.2,48,7.3,4.95,9.56,*,14,17
Within Season Poverty Comparison,02/24/2024,02/24/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,55.2,48,7.3,4.95,9.56,*,14,17
Within Season Poverty Comparison,02/24/2024,02/24/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,44.1,48,-3.9,-6.43,-1.36,*,15,17
Within Season Poverty Comparison,02/24/2024,02/24/2024,Below Poverty,Poverty Status Unknown,49,48,1,-1.99,4.04,,16,17
Within Season Poverty Comparison,03/02/2024,03/02/2024,Below Poverty,Poverty Status Unknown,51.7,49.1,2.7,-0.52,5.85,,16,17
Within Season Poverty Comparison,03/02/2024,03/02/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,45.3,49.1,-3.8,-6.35,-1.23,*,15,17
Within Season Poverty Comparison,03/02/2024,03/02/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56,49.1,6.9,4.59,9.25,*,14,17
Within Season Poverty Comparison,03/09/2024,03/09/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.1,49.1,7,4.65,9.32,*,14,17
Within Season Poverty Comparison,03/09/2024,03/09/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,45.7,49.1,-3.4,-6.01,-0.82,*,15,17
Within Season Poverty Comparison,03/09/2024,03/09/2024,Below Poverty,Poverty Status Unknown,51.9,49.1,2.8,-0.35,6,,16,17
Within Season Poverty Comparison,03/16/2024,03/16/2024,Below Poverty,Poverty Status Unknown,51.9,49.1,2.8,-0.25,5.92,,16,17
Within Season Poverty Comparison,03/16/2024,03/16/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,45.7,49.1,-3.4,-6.01,-0.82,*,15,17
Within Season Poverty Comparison,03/16/2024,03/16/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.2,49.1,7,4.71,9.38,*,14,17
Within Season Poverty Comparison,03/23/2024,03/23/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.4,49.1,7.3,4.94,9.64,*,14,17
Within Season Poverty Comparison,03/23/2024,03/23/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,46,49.1,-3.1,-5.72,-0.53,*,15,17
Within Season Poverty Comparison,03/23/2024,03/23/2024,Below Poverty,Poverty Status Unknown,52.1,49.1,2.9,-0.14,6.01,,16,17
Within Season Poverty Comparison,03/30/2024,03/30/2024,Below Poverty,Poverty Status Unknown,52.1,49.1,2.9,-0.14,6.01,,16,17
Within Season Poverty Comparison,03/30/2024,03/30/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,46,49.1,-3.1,-5.7,-0.51,*,15,17
Within Season Poverty Comparison,03/30/2024,03/30/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.5,49.1,7.3,4.99,9.7,*,14,17
Within Season Poverty Comparison,04/06/2024,04/06/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.7,51.3,5.5,2.9,8,*,14,17
Within Season Poverty Comparison,04/06/2024,04/06/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,47.3,51.3,-4,-6.86,-1.09,*,15,17
Within Season Poverty Comparison,04/06/2024,04/06/2024,Below Poverty,Poverty Status Unknown,53,51.3,1.7,-1.61,4.96,,16,17
Within Season Poverty Comparison,04/13/2024,04/13/2024,Below Poverty,Poverty Status Unknown,53.1,51.3,1.8,-1.49,5.06,,16,17
Within Season Poverty Comparison,04/13/2024,04/13/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,47.3,51.3,-4,-6.86,-1.09,*,15,17
Within Season Poverty Comparison,04/13/2024,04/13/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.7,51.3,5.5,2.9,8,*,14,17
Within Season Poverty Comparison,04/20/2024,04/20/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.7,51.5,5.2,2.59,7.81,*,14,17
Within Season Poverty Comparison,04/20/2024,04/20/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,47.5,51.5,-4,-6.94,-1.07,*,15,17
Within Season Poverty Comparison,04/20/2024,04/20/2024,Below Poverty,Poverty Status Unknown,53.1,51.5,1.5,-1.77,4.85,,16,17
Within Season Poverty Comparison,04/27/2024,04/27/2024,Below Poverty,Poverty Status Unknown,53.4,51.5,1.9,-1.49,5.27,,16,17
Within Season Poverty Comparison,04/27/2024,04/27/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,47.5,51.5,-4,-6.94,-1.07,*,15,17
Within Season Poverty Comparison,04/27/2024,04/27/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,56.8,51.5,5.2,2.61,7.83,*,14,17
Within Season Poverty Comparison,05/04/2024,05/04/2024,"Above Poverty, Income >= $75k",Poverty Status Unknown,57.3,51.5,5.7,3.08,8.4,*,14,17
Within Season Poverty Comparison,05/04/2024,05/04/2024,"Above Poverty, Income < $75k",Poverty Status Unknown,47.5,51.5,-4,-6.94,-1.07,*,15,17
