Table,Select Setting,Value type,Geography,Select Measure,Levels of Measure,Value,SE,Low 95% CI,High 95% CI,Footnote-Value cell,Footnote-Measure Subscript
2,Residential Care Community,Ratio,Ohio,Ratio of employee type/Total number nursing and social work FTE employees,Aide,57.3,3.4,50.6,63.9,,
2,Residential Care Community,Ratio,Ohio,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,0.7,0.2,0.3,1,,
2,Residential Care Community,Percent,Ohio,Any employee FTE,Registered nurse,63.6,6.2,50.9,74.7,,
2,Residential Care Community,Percent,Ohio,Any employee FTE,LPN/LVN,96.8,1.4,92.4,98.7,,
2,Residential Care Community,Percent,Ohio,Any employee FTE,Aide,,,,,*,
2,Residential Care Community,Percent,Ohio,Any employee FTE,Social Worker,17.2,4.5,10.1,27.8,,
2,Residential Care Community,Percent,Ohio,Any employee FTE,Activities director,95.3,2.1,89.2,98.1,,
2,Residential Care Community,Ratio,Ohio,Employee FTE hours per user per day,Registered nurse,0.7,0.2,0.4,1,,
2,Residential Care Community,Ratio,Ohio,Employee FTE hours per user per day,LPN/LVN,1.1,0.1,0.9,1.3,,
2,Residential Care Community,Ratio,Ohio,Employee FTE hours per user per day,Aide,3,0.3,2.4,3.5,,
2,Residential Care Community,Ratio,Ohio,Employee FTE hours per user per day,Social Worker,0.1,0,0,0.1,,
2,Residential Care Community,Ratio,Ohio,Employee FTE hours per user per day,Activities director,0.4,0.1,0.3,0.5,,
3,Residential Care Community,Percent,Ohio,Services provided,Social work,54.4,6.1,42.5,65.9,,
3,Residential Care Community,Percent,Ohio,Services provided,Mental health or counseling,73.9,5.4,62,83.1,,
3,Residential Care Community,Percent,Ohio,Services provided,"Physical, occupational, or speech therapy",90.2,3.6,80.7,95.3,,
3,Residential Care Community,Percent,Ohio,Services provided,Skilled nursing,89.6,3.8,79.6,95,,
3,Residential Care Community,Percent,Ohio,Services provided,Pharmaceutical,93.5,3,84.4,97.4,,
3,Residential Care Community,Percent,Ohio,Services provided,Hospice,87.7,3.9,77.9,93.5,,
3,Residential Care Community,Percent,Ohio,Services provided,Dietary and nutritional,,,,,*,
3,Residential Care Community,Percent,Ohio,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Residential Care Community,Percent,Ohio,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,36.8,5.9,26.1,48.9,,
4,Residential Care Community,Number,Ohio,Number of users,Number of users,32961.4,2193.7,28660.4,37262.3,,1
4,Residential Care Community,Percent,Ohio,Age,65 and over,96.5,1.3,94,99,,
4,Residential Care Community,Percent,Ohio,Age,Under 65,,,,,*,
4,Residential Care Community,Percent,Ohio,Age,65-74,9.4,1.4,6.8,12.1,,
4,Residential Care Community,Percent,Ohio,Age,75-84,28.1,2.2,23.9,32.4,,
4,Residential Care Community,Percent,Ohio,Age,85 and over,58.9,3.1,52.9,64.9,,
4,Residential Care Community,Percent,Ohio,Sex,Male,28,1.3,25.5,30.6,,
4,Residential Care Community,Percent,Ohio,Sex,Female,72,1.3,69.4,74.5,,
4,Residential Care Community,Percent,Ohio,Ethnicity and race,Hispanic,,,,,*,4
4,Residential Care Community,Percent,Ohio,Ethnicity and race,Non-Hispanic White,96.9,0.8,95.2,98.6,,4
4,Residential Care Community,Percent,Ohio,Ethnicity and race,Non-Hispanic Black,,,,,*,4
4,Residential Care Community,Percent,Ohio,Ethnicity and race,Non-Hispanic Other,,,,,*,4
4,Residential Care Community,Percent,Ohio,Medicaid as payer source,Medicaid as payer source,12,2.4,7.2,16.8,,
4,Residential Care Community,Percent,Ohio,Diagnosis,Alzheimer disease or other dementias,41.3,3.8,33.8,48.7,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Arthritis,38.1,4.5,29.2,46.9,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Asthma,7,1.3,4.5,9.5,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Chronic kidney disease,10.1,1.6,7,13.2,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Chronic obstructive pulmonary disease,13.4,1.8,9.9,16.9,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Depression,22.8,2.5,17.9,27.6,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Diabetes,19.1,2,15.2,23.1,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Heart disease,35.2,3.5,28.4,42.1,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,High blood pressure/hypertension,56.3,3.5,49.6,63.1,^,"2,3"
4,Residential Care Community,Percent,Ohio,Diagnosis,Osteoporosis,23,3,17.2,28.8,^,"2,3"
4,Residential Care Community,Percent,Ohio,Needs assistance in physical functioning,Bathing,63,3.6,56,70,^,
4,Residential Care Community,Percent,Ohio,Needs assistance in physical functioning,Dressing,48.9,3.8,41.5,56.4,^,
4,Residential Care Community,Percent,Ohio,Needs assistance in physical functioning,Toileting,40.6,3.7,33.3,47.9,^,
4,Residential Care Community,Percent,Ohio,Needs assistance in physical functioning,Walking or locomotion,48.6,4.3,40.3,57,^,
4,Residential Care Community,Percent,Ohio,Needs assistance in physical functioning,Transferring in and out of a chair/bed,36,3.8,28.5,43.4,^,
4,Residential Care Community,Percent,Ohio,Needs assistance in physical functioning,Eating,20.3,2.7,15.1,25.5,^,
4,Residential Care Community,Percent,Ohio,Adverse Event,Overnight hospital stay,6.8,0.8,5.2,8.4,,2
4,Residential Care Community,Percent,Ohio,Adverse Event,Emergency department visit,10.8,1.3,8.3,13.3,,2
4,Residential Care Community,Percent,Ohio,Adverse Event,Fall,25.4,2.9,19.8,31,^,2
1,Adult Day Services Center,Number,Ohio,Number of providers,Number of providers,61.6,0,61.6,61.6,,
1,Adult Day Services Center,Number,Ohio,Capacity,Total licensed maximum capacity or total number of beds,3089.3,393.6,2317.3,3861.3,,1
1,Adult Day Services Center,Number,Ohio,Capacity,Average licensed maximum capacity or average number of beds,50.2,6.4,37.6,62.7,,1
1,Adult Day Services Center,Number,Ohio,Number of people served,Daily average,16.2,2,12.2,20.1,,2
1,Adult Day Services Center,Percent,Ohio,Number of people served,Category 1,,,,,*,3
1,Adult Day Services Center,Percent,Ohio,Number of people served,Category 2,,,,,*,3
1,Adult Day Services Center,Percent,Ohio,Number of people served,Category 3,,,,,*,3
1,Adult Day Services Center,Percent,Ohio,US Census region,Northeast,,,,,...,
1,Adult Day Services Center,Percent,Ohio,US Census region,Midwest,100,0,,,,
1,Adult Day Services Center,Percent,Ohio,US Census region,South,,,,,...,
1,Adult Day Services Center,Percent,Ohio,US Census region,West,,,,,...,
1,Adult Day Services Center,Percent,Ohio,Metropolitan statistical area status,Metropolitan,,,,,*,
1,Adult Day Services Center,Percent,Ohio,Metropolitan statistical area status,Micropolitan,,,,,*,
1,Adult Day Services Center,Percent,Ohio,Metropolitan statistical area status,Neither,,,,,*,
1,Adult Day Services Center,Percent,Ohio,Ownership,For-profit,,,,,*,
1,Adult Day Services Center,Percent,Ohio,Ownership,Nonprofit,,,,,*,
1,Adult Day Services Center,Percent,Ohio,Ownership,Government and other,,,,,*,
1,Adult Day Services Center,Percent,Ohio,Certification,Medicare,,,,,---,
1,Adult Day Services Center,Percent,Ohio,Certification,Medicaid,,,,,*,
1,Adult Day Services Center,Percent,Ohio,Chain affiliated,Chain affiliated,,,,,*,
2,Adult Day Services Center,Number,Ohio,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,285,45.2,196.2,373.7,,
2,Adult Day Services Center,Ratio,Ohio,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,29.6,5.2,19.4,39.8,,
2,Adult Day Services Center,Ratio,Ohio,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,9.9,2,5.9,13.9,,
2,Adult Day Services Center,Ratio,Ohio,Ratio of employee type/Total number nursing and social work FTE employees,Aide,52.3,5.4,41.8,62.9,,
2,Adult Day Services Center,Ratio,Ohio,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,8.2,1.4,5.4,10.9,,
2,Adult Day Services Center,Percent,Ohio,Any employee FTE,Registered nurse,,,,,*,
2,Adult Day Services Center,Percent,Ohio,Any employee FTE,LPN/LVN,,,,,*,
2,Adult Day Services Center,Percent,Ohio,Any employee FTE,Aide,,,,,*,
2,Adult Day Services Center,Percent,Ohio,Any employee FTE,Social Worker,,,,,*,
2,Adult Day Services Center,Percent,Ohio,Any employee FTE,Activities director,,,,,*,
2,Adult Day Services Center,Ratio,Ohio,Employee FTE hours per user per day,Registered nurse,0.7,0.1,0.5,1,,
2,Adult Day Services Center,Ratio,Ohio,Employee FTE hours per user per day,LPN/LVN,0.3,0.1,0.2,0.4,,
2,Adult Day Services Center,Ratio,Ohio,Employee FTE hours per user per day,Aide,1.3,0.2,0.9,1.7,,
2,Adult Day Services Center,Ratio,Ohio,Employee FTE hours per user per day,Social Worker,0.2,0.1,0.1,0.3,,
2,Adult Day Services Center,Ratio,Ohio,Employee FTE hours per user per day,Activities director,0.7,0.1,0.5,0.8,,
3,Adult Day Services Center,Percent,Ohio,Services provided,Social work,,,,,*,
3,Adult Day Services Center,Percent,Ohio,Services provided,Mental health or counseling,,,,,*,
3,Adult Day Services Center,Percent,Ohio,Services provided,"Physical, occupational, or speech therapy",,,,,*,
3,Adult Day Services Center,Percent,Ohio,Services provided,Skilled nursing,,,,,*,
3,Adult Day Services Center,Percent,Ohio,Services provided,Pharmaceutical,,,,,*,
3,Adult Day Services Center,Percent,Ohio,Services provided,Hospice,,,,,*,
3,Adult Day Services Center,Percent,Ohio,Services provided,Dietary and nutritional,,,,,*,
3,Adult Day Services Center,Percent,Ohio,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,* ^^,
3,Adult Day Services Center,Percent,Ohio,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,,,,,*,
4,Adult Day Services Center,Number,Ohio,Number of users,Number of users,1949.8,212.6,1532.8,2366.9,,1
4,Adult Day Services Center,Percent,Ohio,Age,65 and over,75.7,6.7,62.6,88.8,,
4,Adult Day Services Center,Percent,Ohio,Age,Under 65,24.3,6.7,11.2,37.4,,
4,Adult Day Services Center,Percent,Ohio,Age,65-74,19.3,2.8,13.8,24.8,,
4,Adult Day Services Center,Percent,Ohio,Age,75-84,41.7,5.5,31,52.5,,
4,Adult Day Services Center,Percent,Ohio,Age,85 and over,14.6,1.9,10.8,18.4,,
4,Adult Day Services Center,Percent,Ohio,Sex,Male,41.2,2.6,36.2,46.2,,
4,Adult Day Services Center,Percent,Ohio,Sex,Female,58.8,2.6,53.8,63.8,,
4,Adult Day Services Center,Percent,Ohio,Ethnicity and race,Hispanic,2,0.7,0.7,3.3,,4
4,Adult Day Services Center,Percent,Ohio,Ethnicity and race,Non-Hispanic White,75.2,4.1,67.1,83.4,,4
4,Adult Day Services Center,Percent,Ohio,Ethnicity and race,Non-Hispanic Black,21.2,3.9,13.5,28.8,,4
4,Adult Day Services Center,Percent,Ohio,Ethnicity and race,Non-Hispanic Other,1.6,0.4,0.8,2.3,,4
4,Adult Day Services Center,Percent,Ohio,Medicaid as payer source,Medicaid as payer source,38,8.5,21.4,54.6,,
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Alzheimer disease or other dementias,44.4,7.5,29.8,59.1,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Arthritis,37.4,5.8,26.1,48.7,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Asthma,12.5,3.4,5.8,19.1,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Chronic kidney disease,7.1,1.9,3.3,10.9,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Chronic obstructive pulmonary disease,14.3,3.3,7.7,20.8,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Depression,28.3,4.7,19.1,37.5,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Diabetes,22.8,3.3,16.3,29.4,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Heart disease,23.7,3.7,16.4,31,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,High blood pressure/hypertension,42.2,5.1,32.1,52.3,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Diagnosis,Osteoporosis,16.2,3.3,9.7,22.7,^,"2,3"
4,Adult Day Services Center,Percent,Ohio,Needs assistance in physical functioning,Bathing,26.9,6.4,14.5,39.4,^,
4,Adult Day Services Center,Percent,Ohio,Needs assistance in physical functioning,Dressing,26,6,14.2,37.9,^,
4,Adult Day Services Center,Percent,Ohio,Needs assistance in physical functioning,Toileting,30.1,6.1,18.1,42,^,
4,Adult Day Services Center,Percent,Ohio,Needs assistance in physical functioning,Walking or locomotion,36.8,4.1,28.8,44.8,^,
4,Adult Day Services Center,Percent,Ohio,Needs assistance in physical functioning,Transferring in and out of a chair/bed,26,4.1,17.8,34.1,^,
4,Adult Day Services Center,Percent,Ohio,Needs assistance in physical functioning,Eating,20.8,5.8,9.3,32.2,^,
4,Adult Day Services Center,Percent,Ohio,Adverse Event,Overnight hospital stay,3.9,0.9,2.1,5.6,^,2
4,Adult Day Services Center,Percent,Ohio,Adverse Event,Emergency department visit,6.4,0.9,4.6,8.2,^,2
4,Adult Day Services Center,Percent,Ohio,Adverse Event,Fall,3.9,0.9,2,5.7,,2
1,Adult Day Services Center,Number,Oklahoma,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Oklahoma,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Oklahoma,Number of providers,Number of providers,193.4,3,187.5,199.2,,
1,Residential Care Community,Number,Oklahoma,Capacity,Total licensed maximum capacity or total number of beds,12107.8,579.9,10970.9,13244.7,,1
1,Residential Care Community,Number,Oklahoma,Capacity,Average licensed maximum capacity or average number of beds,62.6,2.6,57.6,67.6,,1
1,Residential Care Community,Number,Oklahoma,Number of people served,Daily average,39.6,2.1,35.5,43.7,,2
1,Residential Care Community,Percent,Oklahoma,Number of people served,Category 1,,,,,*,3
1,Residential Care Community,Percent,Oklahoma,Number of people served,Category 2,,,,,*,3
1,Residential Care Community,Percent,Oklahoma,Number of people served,Category 3,,,,,*,3
1,Residential Care Community,Percent,Oklahoma,US Census region,Northeast,,,,,...,
1,Residential Care Community,Percent,Oklahoma,US Census region,Midwest,,,,,...,
1,Residential Care Community,Percent,Oklahoma,US Census region,South,100,0,,,,
1,Residential Care Community,Percent,Oklahoma,US Census region,West,,,,,...,
1,Residential Care Community,Percent,Oklahoma,Metropolitan statistical area status,Metropolitan,70.1,4.3,61.2,77.8,,
1,Residential Care Community,Percent,Oklahoma,Metropolitan statistical area status,Micropolitan,25.9,4.2,18.6,34.9,,
1,Residential Care Community,Percent,Oklahoma,Metropolitan statistical area status,Neither,,,,,*,
1,Residential Care Community,Percent,Oklahoma,Ownership,For-profit,,,,,*,
1,Residential Care Community,Percent,Oklahoma,Ownership,Nonprofit,,,,,*,
1,Residential Care Community,Percent,Oklahoma,Ownership,Government and other,,,,,*,
1,Residential Care Community,Percent,Oklahoma,Certification,Medicare,,,,,---,
1,Residential Care Community,Percent,Oklahoma,Certification,Medicaid,15.8,3.5,10.1,23.8,,
1,Residential Care Community,Percent,Oklahoma,Chain affiliated,Chain affiliated,69.1,4.3,60.1,76.9,,
2,Residential Care Community,Number,Oklahoma,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,4069.6,428.3,3229.9,4909.2,,
2,Residential Care Community,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,18,3.5,11.1,25,^,
2,Residential Care Community,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,13.5,2.2,9.1,17.9,^,
2,Residential Care Community,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,Aide,68.2,4.2,59.9,76.4,^,
2,Residential Care Community,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,0.3,0.1,0.1,0.4,,
2,Residential Care Community,Percent,Oklahoma,Any employee FTE,Registered nurse,72,4.4,62.4,80,^^,
2,Residential Care Community,Percent,Oklahoma,Any employee FTE,LPN/LVN,68.4,4.3,59.3,76.2,^^,
2,Residential Care Community,Percent,Oklahoma,Any employee FTE,Aide,87.5,3.3,79.2,92.7,^^,
2,Residential Care Community,Percent,Oklahoma,Any employee FTE,Social Worker,,,,,*,
2,Residential Care Community,Percent,Oklahoma,Any employee FTE,Activities director,80.4,3.9,71.5,87,^^,
2,Residential Care Community,Ratio,Oklahoma,Employee FTE hours per user per day,Registered nurse,0.7,0.1,0.4,1,^,
2,Residential Care Community,Ratio,Oklahoma,Employee FTE hours per user per day,LPN/LVN,0.5,0.1,0.4,0.6,^,
2,Residential Care Community,Ratio,Oklahoma,Employee FTE hours per user per day,Aide,3.7,0.2,3.4,4.1,^,
2,Residential Care Community,Ratio,Oklahoma,Employee FTE hours per user per day,Social Worker,0,,,,,
2,Residential Care Community,Ratio,Oklahoma,Employee FTE hours per user per day,Activities director,0.3,0,0.3,0.4,^,
3,Residential Care Community,Percent,Oklahoma,Services provided,Social work,45.6,4.9,36.3,55.1,,
3,Residential Care Community,Percent,Oklahoma,Services provided,Mental health or counseling,57.4,4.7,48,66.2,,
3,Residential Care Community,Percent,Oklahoma,Services provided,"Physical, occupational, or speech therapy",76.6,4.1,67.7,83.6,,
3,Residential Care Community,Percent,Oklahoma,Services provided,Skilled nursing,54,4.8,44.4,63.2,,
3,Residential Care Community,Percent,Oklahoma,Services provided,Pharmaceutical,87.1,3.2,79.5,92.2,,
3,Residential Care Community,Percent,Oklahoma,Services provided,Hospice,76,4.1,67.1,83.1,,
3,Residential Care Community,Percent,Oklahoma,Services provided,Dietary and nutritional,92.4,2.6,85.4,96.2,,
3,Residential Care Community,Percent,Oklahoma,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Residential Care Community,Percent,Oklahoma,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,35.1,4.7,26.5,44.7,,
4,Residential Care Community,Number,Oklahoma,Number of users,Number of users,7654.7,447.4,6777.6,8531.8,,1
4,Residential Care Community,Percent,Oklahoma,Age,65 and over,95.2,1.5,92.2,98.2,,
4,Residential Care Community,Percent,Oklahoma,Age,Under 65,,,,,*,
4,Residential Care Community,Percent,Oklahoma,Age,65-74,9.8,1.5,6.9,12.7,,
4,Residential Care Community,Percent,Oklahoma,Age,75-84,29.1,1.9,25.4,32.8,,
4,Residential Care Community,Percent,Oklahoma,Age,85 and over,56.3,2.9,50.7,61.9,,
4,Residential Care Community,Percent,Oklahoma,Sex,Male,28.8,1.2,26.5,31.1,,
4,Residential Care Community,Percent,Oklahoma,Sex,Female,71.2,1.2,68.9,73.5,,
4,Residential Care Community,Percent,Oklahoma,Ethnicity and race,Hispanic,1.5,0.4,0.6,2.4,,4
4,Residential Care Community,Percent,Oklahoma,Ethnicity and race,Non-Hispanic White,92.9,1,91,94.8,,4
4,Residential Care Community,Percent,Oklahoma,Ethnicity and race,Non-Hispanic Black,1.9,0.4,1.1,2.6,,4
4,Residential Care Community,Percent,Oklahoma,Ethnicity and race,Non-Hispanic Other,3.7,0.6,2.5,4.9,,4
4,Residential Care Community,Percent,Oklahoma,Medicaid as payer source,Medicaid as payer source,,,,,*,
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Alzheimer disease or other dementias,36.7,2.9,31,42.3,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Arthritis,40,3.7,32.7,47.3,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Asthma,7.8,0.9,6,9.5,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Chronic kidney disease,12.5,1.9,8.7,16.3,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Chronic obstructive pulmonary disease,14.2,1.3,11.6,16.8,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Depression,36.2,3.2,30,42.5,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Diabetes,16,1.2,13.6,18.4,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Heart disease,41.8,3.3,35.5,48.2,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,High blood pressure/hypertension,60.4,3,54.6,66.3,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Diagnosis,Osteoporosis,22.1,2.1,17.9,26.2,^,"2,3"
4,Residential Care Community,Percent,Oklahoma,Needs assistance in physical functioning,Bathing,54.5,3.8,47.1,61.8,^,
4,Residential Care Community,Percent,Oklahoma,Needs assistance in physical functioning,Dressing,36.6,4,28.6,44.5,^,
4,Residential Care Community,Percent,Oklahoma,Needs assistance in physical functioning,Toileting,33.4,4,25.6,41.2,^,
4,Residential Care Community,Percent,Oklahoma,Needs assistance in physical functioning,Walking or locomotion,50.1,4.3,41.6,58.6,^,
4,Residential Care Community,Percent,Oklahoma,Needs assistance in physical functioning,Transferring in and out of a chair/bed,26.3,3.8,18.9,33.7,^,
4,Residential Care Community,Percent,Oklahoma,Needs assistance in physical functioning,Eating,14.4,2.2,10.1,18.6,^,
4,Residential Care Community,Percent,Oklahoma,Adverse Event,Overnight hospital stay,9.6,1.1,7.5,11.7,^,2
4,Residential Care Community,Percent,Oklahoma,Adverse Event,Emergency department visit,18.7,1.6,15.5,21.8,^,2
4,Residential Care Community,Percent,Oklahoma,Adverse Event,Fall,20.3,2.3,15.9,24.7,^,2
1,Adult Day Services Center,Number,Oklahoma,Number of providers,Number of providers,22.8,0,22.8,22.8,,
1,Adult Day Services Center,Number,Oklahoma,Capacity,Total licensed maximum capacity or total number of beds,1678.9,249.2,1190.1,2167.7,,1
1,Adult Day Services Center,Number,Oklahoma,Capacity,Average licensed maximum capacity or average number of beds,73.7,10.9,52.2,95.1,,1
1,Adult Day Services Center,Number,Oklahoma,Number of people served,Daily average,24.6,4.9,15,34.2,,2
1,Adult Day Services Center,Percent,Oklahoma,Number of people served,Category 1,,,,,*,3
1,Adult Day Services Center,Percent,Oklahoma,Number of people served,Category 2,,,,,*,3
1,Adult Day Services Center,Percent,Oklahoma,Number of people served,Category 3,,,,,*,3
1,Adult Day Services Center,Percent,Oklahoma,US Census region,Northeast,,,,,...,
1,Adult Day Services Center,Percent,Oklahoma,US Census region,Midwest,,,,,...,
1,Adult Day Services Center,Percent,Oklahoma,US Census region,South,100,0,,,,
1,Adult Day Services Center,Percent,Oklahoma,US Census region,West,,,,,...,
1,Adult Day Services Center,Percent,Oklahoma,Metropolitan statistical area status,Metropolitan,,,,,*,
1,Adult Day Services Center,Percent,Oklahoma,Metropolitan statistical area status,Micropolitan,,,,,*,
1,Adult Day Services Center,Percent,Oklahoma,Metropolitan statistical area status,Neither,,,,,*,
1,Adult Day Services Center,Percent,Oklahoma,Ownership,For-profit,,,,,*,
1,Adult Day Services Center,Percent,Oklahoma,Ownership,Nonprofit,,,,,*,
1,Adult Day Services Center,Percent,Oklahoma,Ownership,Government and other,,,,,*,
1,Adult Day Services Center,Percent,Oklahoma,Certification,Medicare,,,,,---,
1,Adult Day Services Center,Percent,Oklahoma,Certification,Medicaid,,,,,*,
1,Adult Day Services Center,Percent,Oklahoma,Chain affiliated,Chain affiliated,,,,,*,
2,Adult Day Services Center,Number,Oklahoma,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,147.3,12.6,122.6,172,,
2,Adult Day Services Center,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,13.1,5,3.4,22.8,,
2,Adult Day Services Center,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,9.3,1.9,5.6,13,,
2,Adult Day Services Center,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,Aide,72.9,3.9,65.1,80.6,,
2,Adult Day Services Center,Ratio,Oklahoma,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,4.7,1.3,2.3,7.2,,
2,Adult Day Services Center,Percent,Oklahoma,Any employee FTE,Registered nurse,,,,,*,
2,Adult Day Services Center,Percent,Oklahoma,Any employee FTE,LPN/LVN,,,,,*,
2,Adult Day Services Center,Percent,Oklahoma,Any employee FTE,Aide,,,,,*,
2,Adult Day Services Center,Percent,Oklahoma,Any employee FTE,Social Worker,,,,,*,
2,Adult Day Services Center,Percent,Oklahoma,Any employee FTE,Activities director,,,,,*,
2,Adult Day Services Center,Ratio,Oklahoma,Employee FTE hours per user per day,Registered nurse,0.3,0.2,0,0.7,,
2,Adult Day Services Center,Ratio,Oklahoma,Employee FTE hours per user per day,LPN/LVN,0.2,0.1,0.1,0.4,,
2,Adult Day Services Center,Ratio,Oklahoma,Employee FTE hours per user per day,Aide,1.8,0.1,1.6,2.1,,
2,Adult Day Services Center,Ratio,Oklahoma,Employee FTE hours per user per day,Social Worker,0.1,0,0,0.1,,
2,Adult Day Services Center,Ratio,Oklahoma,Employee FTE hours per user per day,Activities director,0.7,0.1,0.4,1,,
3,Adult Day Services Center,Percent,Oklahoma,Services provided,Social work,,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Services provided,Mental health or counseling,,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Services provided,"Physical, occupational, or speech therapy",,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Services provided,Skilled nursing,,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Services provided,Pharmaceutical,,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Services provided,Hospice,,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Services provided,Dietary and nutritional,,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Adult Day Services Center,Percent,Oklahoma,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,,,,,*,
4,Adult Day Services Center,Number,Oklahoma,Number of users,Number of users,968.3,175.9,623.3,1313.3,,1
4,Adult Day Services Center,Percent,Oklahoma,Age,65 and over,47.8,6.5,35,60.5,,
4,Adult Day Services Center,Percent,Oklahoma,Age,Under 65,52.2,6.5,39.5,65,,
4,Adult Day Services Center,Percent,Oklahoma,Age,65-74,24.6,4.7,15.4,33.8,,
4,Adult Day Services Center,Percent,Oklahoma,Age,75-84,16.9,3.3,10.5,23.4,,
4,Adult Day Services Center,Percent,Oklahoma,Age,85 and over,6.2,1.4,3.4,9,,
4,Adult Day Services Center,Percent,Oklahoma,Sex,Male,43.6,1,41.7,45.5,,
4,Adult Day Services Center,Percent,Oklahoma,Sex,Female,56.4,1,54.5,58.3,,
4,Adult Day Services Center,Percent,Oklahoma,Ethnicity and race,Hispanic,4.3,0.5,3.2,5.3,,4
4,Adult Day Services Center,Percent,Oklahoma,Ethnicity and race,Non-Hispanic White,68.1,2.5,63.2,73,,4
4,Adult Day Services Center,Percent,Oklahoma,Ethnicity and race,Non-Hispanic Black,19.3,2.2,15,23.6,,4
4,Adult Day Services Center,Percent,Oklahoma,Ethnicity and race,Non-Hispanic Other,8.4,1.6,5.3,11.5,,4
4,Adult Day Services Center,Percent,Oklahoma,Medicaid as payer source,Medicaid as payer source,50.9,6.6,37.9,63.9,,
4,Adult Day Services Center,Percent,Oklahoma,Diagnosis,Alzheimer disease or other dementias,39.1,7.2,25.1,53.2,,"2,3"
4,Adult Day Services Center,Percent,Oklahoma,Diagnosis,Arthritis,34.4,10.5,13.8,55.1,,"2,3"
4,Adult Day Services Center,Percent,Oklahoma,Diagnosis,Asthma,7.5,1.6,4.3,10.7,,"2,3"
